,,0,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,
23:05:00,it,is,,,,,,five,,past,,,,,,,,,,,,eleven,,,,post,meridiem
23:10:00,it,is,,,,,ten,,,past,,,,,,,,,,,,eleven,,,,post,meridiem
23:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,,,,eleven,,,,post,meridiem
23:20:00,it,is,,,twenty,,,,,past,,,,,,,,,,,,eleven,,,,post,meridiem
23:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,,,,eleven,,,,post,meridiem
23:30:00,it,is,,,,,,,half,past,,,,,,,,,,,,eleven,,,,post,meridiem
23:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,,,,,twelve,,,post,meridiem
23:40:00,it,is,,,twenty,,,,,,to,,,,,,,,,,,,twelve,,,post,meridiem
23:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,,,,,twelve,,,post,meridiem
23:50:00,it,is,,,,,ten,,,,to,,,,,,,,,,,,twelve,,,post,meridiem
23:55:00,it,is,,,,,,five,,,to,,,,,,,,,,,,twelve,,,post,meridiem
