,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,
21:05:00,it,is,,,,five,,,,past,,,,,,,,,,nine,,,,,in,the,,,,,,evening
21:10:00,it,is,ten,,,,,,,past,,,,,,,,,,nine,,,,,in,the,,,,,,evening
21:15:00,it,is,,,,,,a,quarter,past,,,,,,,,,,nine,,,,,in,the,,,,,,evening
21:20:00,it,is,,twenty,,,,,,past,,,,,,,,,,nine,,,,,in,the,,,,,,evening
21:25:00,it,is,,,twenty-,five,,,,past,,,,,,,,,,nine,,,,,in,the,,,,,,evening
21:30:00,it,is,,,,,half,,,past,,,,,,,,,,nine,,,,,in,the,,,,,,evening
21:35:00,it,is,,,twenty-,five,,,,,to,,,,,,,,,,ten,,,,in,the,,,,,,evening
21:40:00,it,is,,twenty,,,,,,,to,,,,,,,,,,ten,,,,in,the,,,,,,evening
21:45:00,it,is,,,,,,a,quarter,,to,,,,,,,,,,ten,,,,in,the,,,,,,evening
21:50:00,it,is,ten,,,,,,,,to,,,,,,,,,,ten,,,,in,the,,,,,,evening
21:55:00,it,is,,,,five,,,,,to,,,,,,,,,,ten,,,,in,the,,,,,,evening
22:00:00,it,is,,,,,,,,,,,,,,,,,,,ten,,,at,,,,night,,,,
22:05:00,it,is,,,,five,,,,past,,,,,,,,,,,ten,,,at,,,,night,,,,
22:10:00,it,is,ten,,,,,,,past,,,,,,,,,,,ten,,,at,,,,night,,,,
22:15:00,it,is,,,,,,a,quarter,past,,,,,,,,,,,ten,,,at,,,,night,,,,
22:20:00,it,is,,twenty,,,,,,past,,,,,,,,,,,ten,,,at,,,,night,,,,
22:25:00,it,is,,,twenty-,five,,,,past,,,,,,,,,,,ten,,,at,,,,night,,,,
22:30:00,it,is,,,,,half,,,past,,,,,,,,,,,ten,,,at,,,,night,,,,
22:35:00,it,is,,,twenty-,five,,,,,to,,,,,,,,,,,eleven,,at,,,,night,,,,
22:40:00,it,is,,twenty,,,,,,,to,,,,,,,,,,,eleven,,at,,,,night,,,,
22:45:00,it,is,,,,,,a,quarter,,to,,,,,,,,,,,eleven,,at,,,,night,,,,
22:50:00,it,is,ten,,,,,,,,to,,,,,,,,,,,eleven,,at,,,,night,,,,
22:55:00,it,is,,,,five,,,,,to,,,,,,,,,,,eleven,,at,,,,night,,,,
23:00:00,it,is,,,,,,,,,,,,,,,,,,,,eleven,,at,,,,night,,,,
23:05:00,it,is,,,,five,,,,past,,,,,,,,,,,,eleven,,at,,,,night,,,,
23:10:00,it,is,ten,,,,,,,past,,,,,,,,,,,,eleven,,at,,,,night,,,,
23:15:00,it,is,,,,,,a,quarter,past,,,,,,,,,,,,eleven,,at,,,,night,,,,
23:20:00,it,is,,twenty,,,,,,past,,,,,,,,,,,,eleven,,at,,,,night,,,,
23:25:00,it,is,,,twenty-,five,,,,past,,,,,,,,,,,,eleven,,at,,,,night,,,,
23:30:00,it,is,,,,,half,,,past,,,,,,,,,,,,eleven,,at,,,,night,,,,
23:35:00,it,is,,,twenty-,five,,,,,to,,,,,,,,,,,,twelve,at,,,,night,,,,
23:40:00,it,is,,twenty,,,,,,,to,,,,,,,,,,,,twelve,at,,,,night,,,,
23:45:00,it,is,,,,,,a,quarter,,to,,,,,,,,,,,,twelve,at,,,,night,,,,
23:50:00,it,is,ten,,,,,,,,to,,,,,,,,,,,,twelve,,,,midnight,,,,,
23:55:00,it,is,,,,five,,,,,to,,,,,,,,,,,,twelve,,,,midnight,,,,,
